smiles,solubility_aqsoldb,MW,LogP,RotBonds,TPSA
SMILES_0,-4.370501095074191,122.60299243175547,4.8407596960567005,9,11.113511282266998
SMILES_1,-0.5521363630629921,328.44165694269776,0.355329057294552,11,53.18318186226242
SMILES_2,-1.7717740656037868,265.2782185271144,-2.207000183451002,11,107.36708146081307
SMILES_3,-7.5092217565854344,137.09008225679494,4.989645799784654,3,-19.577009769291127
SMILES_4,-4.336271860063221,320.6534967053781,-1.9460299999696797,0,17.99109058400385
SMILES_5,-4.562544999388788,300.6125445026641,3.9283575467668506,13,27.89228184866012
SMILES_6,-4.242276177624795,260.03864067772673,3.442239041751705,13,34.73475618347155
SMILES_7,-1.2751954224822095,334.68093181808524,2.639108202439754,2,79.60502656420977
SMILES_8,-2.961588063992617,441.5094010107804,0.9544501035668722,12,43.0582232975445
SMILES_9,-5.779259341711091,438.4590718685139,3.005594589051155,11,66.63210902881781
SMILES_10,-3.766429673917232,324.37646431085847,4.096969747409101,3,24.96907825072895
SMILES_11,-1.9165247047676204,301.52895671371465,0.02837900704905416,1,59.1969738167175
SMILES_12,-3.4392900310675087,325.7735207611681,3.952747345958967,11,81.1119052351086
SMILES_13,-4.289351902326983,340.9006932774348,3.861749023874488,1,20.70801801051646
SMILES_14,-2.337561442522943,283.1701822941945,2.5861021818431107,1,81.25432479226059
SMILES_15,0.23638497887815424,327.4543059953102,0.9240502438377753,10,52.09491074910274
SMILES_16,-2.0771503340829627,152.63704289582026,3.8709147296975512,0,91.81840961929011
SMILES_17,-0.3981169739366024,318.1348883346764,3.016625912325046,9,41.943203996921056
SMILES_18,-4.155228435729806,357.68135950246045,-0.03191932638913464,1,65.24978620648395
SMILES_19,-3.0167242222481216,261.0158057993594,1.2652883824635042,5,48.3757507328588
SMILES_20,-3.0571039690713646,300.4527355713901,3.6381098768413995,2,46.15150951837684
SMILES_21,-2.7626418318646175,198.8494619298876,2.229161234201689,9,60.357217129027596
SMILES_22,-2.118960787238168,184.96864170406866,4.171965788890651,4,71.47229876899615
SMILES_23,-4.837938242109557,331.0815077959191,1.3167066087032075,0,0.017403523039796198
SMILES_24,-1.7053346289730429,237.0436984262384,0.00020941550379971474,7,107.34534435271512
SMILES_25,-6.255771877910433,132.31743384239752,6.387205231220142,12,-24.38652162199194
SMILES_26,-5.671513325013363,198.8221700865558,-1.3617901654929816,3,22.60751561044416
SMILES_27,1.271252202346461,213.3620906207931,1.0003208051966719,8,46.22923716940397
SMILES_28,-4.020241478957752,387.45804977317414,2.559496001399969,3,66.49423876343792
SMILES_29,-1.5409612980275957,327.91140113684673,3.9721677829554225,13,113.04690110965514
SMILES_30,0.39658078485391224,222.83978018426998,3.292898737084522,14,-24.331659529004295
SMILES_31,-7.628912157556952,251.22340950288404,6.622518009885758,14,29.692234864411574
SMILES_32,-0.7475076396885805,441.2084416107226,1.7648030946837368,14,-35.073339511970616
SMILES_33,-1.702112787481458,403.6102435196951,0.2540334772989459,1,51.26487895640991
SMILES_34,0.28079456186607965,198.19395720181723,1.5606079515671012,2,60.86734338000122
SMILES_35,-5.363046323329254,426.35258596263265,1.3600469412979512,4,113.63182968685011
SMILES_36,-0.09749068609077449,301.937119155019,1.8634097054197212,11,54.825390435738164
SMILES_37,-4.478828863205381,389.9611626056244,0.03502375420143977,9,91.76100517769518
SMILES_38,-0.8904443714466863,293.6692044998493,3.5681120765007135,14,73.35348326156236
