smiles,clearance_hepatocyte_az,MW,LogP,NumRings
O=C(O)C1CCCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(C(F)(F)F)c2)C1,10.915088464214607,493.5030000000003,4.964200000000004,4
C[C@H](NC(=O)/C=C/c1ccc(F)cc1)c1ccc(F)c(N2CCOCC2)c1,2.8791984572980396,372.4150000000002,3.692000000000003,3
COC(=O)C[C@@H](c1ccc(OC)nc1)N(C)C(=O)CCCCc1nc2c(cc1C)CCCN2,0.8754687373538999,454.57100000000037,3.627320000000002,3
CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,4.1728476237100445,460.59300000000013,5.722200000000007,5
Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCCC2)cc1,3.949318790171843,428.57600000000036,5.409000000000005,5
CS(=O)(=O)c1ccc(-c2ccccc2-c2ccccc2)cc1,3.338257581888281,308.40200000000004,4.424100000000004,3
CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,4.757032535297338,442.6030000000001,5.583100000000006,5
CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,3.8110970868381857,446.56600000000014,5.332100000000007,5
O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(C(F)(F)F)c2)CC1,10.915088464214607,493.5030000000003,4.964200000000004,4
Cc1cn(Cc2ccccc2)c2cc(C(=O)Nc3c(Cl)c[n+]([O-])cc3Cl)ccc12,2.12022353540007,426.30300000000005,5.190520000000004,4
O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,2.8390784635086144,502.74300000000034,6.470400000000008,5
c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCN1CCOCC1,4.174387269895637,389.5240000000003,4.764000000000005,5
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0.7792827910301718,527.6690000000006,5.986420000000005,5
N=C(N)c1cccc(N2CCCCN(C3CCN(S(=O)(=O)Cc4ccccc4)CC3)C2=O)c1.O=C(O)C(F)(F)F,4.224348908792687,583.6330000000004,3.6205700000000025,4
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,4.430816798843313,647.8200000000002,6.268000000000007,6
COc1ccc2c(c1)CCN1Cc3c(ccc4[nH]c(C)c(Cc5ccccc5)c34)OC21,4.090671156855792,410.51700000000017,5.525020000000005,6
Cl.N=C(N)c1cccc(N2CCCCN(C3CCN(S(=O)(=O)c4cccs4)CC3)C2=O)c1,2.427454075039915,498.07400000000024,3.3294700000000024,4
COCCN(CCOC)c1nc(C)nc2c1nnn2-c1ccc(C(C)C)cc1Br,2.075308010398229,463.3800000000001,3.5040200000000024,3
C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,3.2188758248682006,873.0319999999997,1.0284000000000069,6
C[C@H](NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](C)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,3.1354942159291497,817.9919999999997,1.7544000000000064,5
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,3.8918202981106265,567.6900000000003,6.407600000000007,5
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,1.833902737245884,418.4570000000002,2.8727800000000014,4
CCCCc1nc(Cl)c(C(=O)NC)n1Cc1ccc2oc(-c3ccccc3-c3nn[nH]n3)c(Br)c2c1,2.3978952727983707,568.8630000000002,5.642800000000004,5
N/C(S)=N/N=C/c1ncccc1NC(=O)OCc1ccc(OP(=O)([O-])[O-])cc1.[Na+].[Na+],3.7796338173824005,469.32700000000017,-5.375799999999998,2
CCOC(=O)c1c(C)nc(CC)n1Cc1ccc2oc(-c3ccccc3-c3nn[nH]n3)c(Br)c2c1,4.605170185988092,535.4020000000002,5.334720000000004,5
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,3.5115454388310208,459.53200000000027,-1.0289999999999973,4
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)C1CCCCC1,-10.126631103850338,491.03200000000044,2.5122,4
COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,4.31748811353631,487.58200000000033,0.18960000000000132,4
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,3.606312730456974,526.5410000000002,0.5948000000000004,4
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnn2)cc1,3.3079849999399764,451.50800000000015,1.1720999999999995,4
CCO/N=C/c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,2.101521831797696,368.48100000000005,3.840920000000003,3
COc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1,4.248495242049359,452.45400000000006,4.781200000000004,3
C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccccc4)cc3Cl)cc2O1,1.7578579175523736,468.93300000000016,6.148500000000005,4
FC(F)(F)c1cc(COCC(c2ccccc2)N2CCNCC2)cc(C(F)(F)F)c1,3.9889840465642745,432.4080000000002,4.887300000000004,3
CC(C)(N)C(=O)N[C@H](COCc1ccc(F)cc1F)C(=O)N1CCC2=NN(CC(F)(F)F)C(=O)[C@]2(Cc2ccccn2)C1,2.7481741085235853,610.5840000000001,2.3204000000000002,4
Cc1ccc2nc(CNC(=O)c3ccc4c(c3)CN(C)C(=O)[C@H](CC(=O)O)N4)nc-2[nH]1,0.5877866649021191,422.44500000000016,1.37512,4
CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3ccccc3C)cc2)[C@@H](C(=O)NO)[C@@H]1C,3.9889840465642745,461.54000000000013,1.6893199999999997,3
N=C(N)NC(=O)[C@H]1C[C@@H]1c1cc(Cl)ccc1Cl,4.962844630259907,272.135,2.10657,2
CN1N=C2CCN(C(=O)[C@@H](COCc3ccc(F)c(F)c3)NC(=O)C(C)(C)N)CC2(Cc2ccccc2)C1=O,2.833213344056216,541.5990000000003,1.9929,4
O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,3.288401887516811,624.7100000000003,6.557400000000005,5
Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5.060694493968993,510.0550000000001,6.497000000000006,5
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,3.147430007489627,410.42300000000023,1.9508999999999999,3
Cc1ccccc1COc1ccc(S(=O)(=O)N2CCN[C@@H](C)[C@@H]2C(=O)NO)cc1,4.418840607796598,419.50300000000016,1.4304199999999996,3
COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@@H](C)N(C)Cc3ccccn3)c2=O)c1,7.438383530044307,520.5800000000003,4.236020000000003,4
CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccc(F)cc4)cc3Cl)cc2O1,1.252762968495368,500.9500000000001,6.677700000000006,4
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.9555114450274363,194.194,-1.0293,2
CN1N=C2CCN(C(=O)[C@@H](COCc3ccccc3)NC(=O)C(C)(C)N)C[C@@]2(Cc2ccccc2)C1=O,2.9444389791664403,505.6190000000003,1.7147000000000003,4
CC1(C)[C@H](C(=O)N=C(N)N)[C@H]1c1cc(Cl)ccc1Cl,3.784189633918261,300.1890000000001,2.5330000000000004,2
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,4.605170185988092,812.0179999999997,4.929200000000005,5
N=C(N)NC(=O)[C@H]1C[C@@H]1c1cccc2c1CCO2,4.787491742782046,245.28199999999995,0.7346699999999999,3
